"","alpha","Method","coverage","width","simul_id","width_base","diff_coverage","ratio_width"
"2130",0.24,"split dcp",0.755,1.71220525282295,8,1.65071179542492,-0.005,1.03725269157734
"2131",0.25,"split dcp",0.74845,1.68657022886606,8,1.62821664989671,-0.00154999999999994,1.03583895237348
"2132",0.26,"split dcp",0.7372,1.65174907978642,8,1.60693476503163,-0.00279999999999991,1.0278880734489
"2133",0.27,"split dcp",0.7287,1.62812638573564,8,1.5861833595933,-0.00129999999999997,1.02644273493898
"2134",0.28,"split dcp",0.71775,1.59110081258954,8,1.56601346120277,-0.00224999999999997,1.01601988233709
"2135",0.29,"split dcp",0.70915,1.5711410388137,8,1.54636124187441,-0.000850000000000017,1.01602458485655
"2136",0.3,"split dcp",0.70115,1.55438308876875,8,1.527272549376,0.00114999999999998,1.01775095047955
"2137",0.31,"split dcp",0.68885,1.5299059680221,8,1.50897305766475,-0.00114999999999998,1.01387228900544
"2138",0.32,"split dcp",0.677,1.50002556600154,8,1.49120420745438,-0.00299999999999989,1.00591559392273
"2139",0.33,"split dcp",0.6673,1.47853319638715,8,1.47307498882528,-0.00269999999999992,1.00370531548175
"2140",0.34,"split dcp",0.65545,1.45121003870847,8,1.45543852922421,-0.00455000000000005,0.997094696594303
"2141",0.35,"split dcp",0.64615,1.43449282333577,8,1.43797721241865,-0.00384999999999991,0.997576881571702
"2142",0.36,"split dcp",0.6389,1.41884775134147,8,1.42101590788556,-0.00109999999999988,0.998474220779615
"2143",0.37,"split dcp",0.62705,1.39937388406366,8,1.40356147287013,-0.00295000000000001,0.997016455005775
"2144",0.38,"split dcp",0.6177,1.38677696351478,8,1.38634796014859,-0.00229999999999997,1.0003094485501
"2145",0.39,"split dcp",0.60595,1.37136723699382,8,1.3684476876473,-0.00405,1.00213347530408
"2146",0.4,"split dcp",0.598,1.36091726189152,8,1.34869639616764,-0.002,1.0090612429592
"2147",0.41,"split dcp",0.5921,1.351030157805,8,1.32825577478805,0.00209999999999999,1.01714608244077
"2148",0.42,"split dcp",0.58355,1.33582411066411,8,1.30787898495591,0.00355000000000016,1.02136675183992
"2149",0.43,"split dcp",0.57555,1.31892535217768,8,1.28751834605312,0.00554999999999994,1.02439344357371
"2150",0.44,"split dcp",0.56415,1.29815242735784,8,1.26682688890588,0.00414999999999988,1.02472756043172
"2151",0.45,"split dcp",0.55625,1.28429953214697,8,1.24582362120737,0.00625000000000009,1.03088391509411
"2152",0.46,"split dcp",0.5468,1.26659006422256,8,1.2250646799691,0.00679999999999992,1.03389648312651
"2153",0.47,"split dcp",0.5384,1.24914035158904,8,1.20413835544474,0.00839999999999996,1.03737277858546
"2154",0.48,"split dcp",0.5254,1.22343743814114,8,1.18287031538754,0.00540000000000007,1.03429549480266
"2155",0.49,"split dcp",0.51295,1.19298361134619,8,1.16148123898358,0.00295000000000001,1.02712258390861
"2156",0.5,"split dcp",0.5043,1.17189783644671,8,1.13993152738757,0.00429999999999997,1.02804230630623
